PORTFOLIO COMPANY ID,COMPANY NAME,REGION,ADDRESS,CITY,STATE,ZIPCODE,COUNTRY,WEBSITE,EMAIL,TEL,FAX,FOUNDED YEAR,PRIMARY INDUSTRY,SUB INDUSTRIES,VERTICALS,COMPANY STAGE,LATEST ROUND DIRECTION,INVESTORS,TOTAL AMOUNT RAISED (USD MN),EBITDA (USD MN),OPERATING INCOME (USD MN),NET INCOME (USD MN),REVENUE (USD MN),% REVENUE GROWTH YOY,% OPERATING MARGIN,% EBTIDA MARGIN,% NET MARGIN,FUNDING ROUNDS/NUMBER OF DEALS,MOST RECENT DEAL TYPE/STAGE,MOST RECENT DEAL DATE,MOST RECENT DEAL SIZE (USD MN),MOST RECENT DEAL SIZE EQUITY (USD MN),MOST RECENT DEAL SIZE DEBT (USD MN),EMPLOYEE COUNT,INVESTED FUNDS (ESTIMATED**),ACTIONABILITY SIGNAL,FUNDING TYPE,OWNERSHIP TYPE,POST-MONEY VALUATION (USD MN - ESTIMATED**),POST-MONEY VALUATION (USD MN)
506693,Skortech,Asia,"Building 18 Office Park, Lt. 25 Suite A2 Jl. TB Simatupang No. 18",Jakarta,,12520,Indonesia,www.skorlife.com,wecare@skorlife.com,,,2022,Financial Services,"e-Financial, Credit Collections & Services, Internet","FinTech, Mobile Apps",Early Stage,,"Saison Capital, AC Ventures",2.20,,,,,,,,,1,Unspecified Round,05-Sep-2022,2.20,,,,ACV Capital V,-,VC-Backed,Private,,
506676,Space ID,Asia, ,,,,Singapore,www.space.id,,,,2022,Software,"Application Integration Software, Internet","FinTech, Identity Management",Angel & Seed,,Binance Labs,,,,,,,,,,1,Seed,02-Sep-2022,,,,,Binance Labs Fund II,-,VC-Backed,Private,,
506652,PT Adiwisista Finansial Teknologi,Asia,Prosperity Tower  20th Floor District 8 SCBD Jl. Jend. Sudirman,Jakarta,,12190,Indonesia,www.adiwisista.com,enquiry@adiwisista.com,+62 21 5010 3360,,2018,Financial Services,"Accounting/Finance Software, HR & Workforce Software, e-Financial",Lending,Early Stage,,Luminor Capital,1.80,,,,,,,,,1,Unspecified Round,02-Sep-2022,1.75,,,,Luminor Harbour Fund 1,-,VC-Backed,Private,,10.00
497692,Hydra X,Asia,"11 COLLYER QUAY, #19-02, THE ARCADE ",,,49317,Singapore,www.hydrax.io,,+65 6980 6330,,2018,Financial Services,Financial Services,FinTech,Series A,,,4.40,,,,,,,,,1,Series A,22-Jul-2021,4.40,,,49,,-,VC-Backed,Private,,29.40
497308,iPiD,Asia,80 Robinson Road #18-03,Singapore,,68898,Singapore,http://www.ipid.tech,info@ipid.tech,,,2021,Software,"e-Financial, Application Integration Software",Processing & Payment Infrastructure,Angel & Seed,,"Jungle Ventures, Saison Capital, 1982 Ventures, XA Network, Rapyd Ventures, Resolution Ventures",3.30,,,,,,,,,1,Seed,31-Aug-2022,3.30,,,85,"Jungle Ventures III, 1982 Ventures Fund I",-,VC-Backed,Private,,
497117,Banco,Asia,"12 Marina View Asia Square Tower 2, #11-01",Singapore,,18961,Singapore,www.banco.com.sg,support@banco.com.sg,,,2018,Financial Services,"e-Financial, Credit Collections & Services",Processing & Payment Infrastructure,Series A,,"Sumitomo Mitsui Banking Corporation, SBI-Hikari Private Equity, Savills, KZM & Company Group, R3",6.70,,,,,,,,,1,Series A,30-Aug-2022,6.70,,,12,,-,VC-Backed,Private,,
496879,SolanaFM ,Asia, ,Singapore,,,Singapore,www.solana.fm,,,,2021,Financial Services,"Web Development, Web Applications, Analytics & Performance Software","Cryptocurrency, Exchange/Trading Platforms",Angel & Seed,,"The Spartan Group, SBI Ven Capital, FT Capital, Zee Prime Capital, D1 Ventures, Petrock Capital, Mirana Ventures, K3 Ventures, Hako Technology Pte. Ltd, Etherscan, 3 Chaps Capital",4.50,,,,,,,,,2,Seed,26-Aug-2022,4.50,,,22,"SBI-Sygnum Digital Asset Opportunity Fund, Orion Fund",-,VC-Backed,Private,,
496877,Growth Technologies,Asia, ,,,,Vietnam,,,,,,Financial Services,Credit Collections & Services,Processing & Payment Infrastructure,Angel & Seed,,"DST Global, East Ventures, Rocket Internet Capital Partners, Nextrans, Saison Capital, Northstar, Ratio Ventures, Ansible Labs LLC",3.00,,,,,,,,,1,Seed,26-Aug-2022,3.00,,,,Multi-Stage Fund,-,VC-Backed,Private,,
496798,PayHalal,Asia,"D4-U3A-13A Solaris Dutamas No.1 Jalan Dutamas 1, Wilayah Persekutuan",Kuala Lumpur,,50480,Malaysia,www.payhalal.com.my,support@payhalal.my,,,2018,Financial Services,"e-Financial, Accounting/Finance Software","E-commerce, Processing & Payment Infrastructure, Saas",Early Stage,,Crescent Capital,0.70,,,,,,,,,1,Unspecified Round,26-Aug-2022,0.67,,,18,,-,VC-Backed,Private,,
496510,Chocolate Finance,Asia,9 Teo Hong Road #02-00,Singapore,,88325,Singapore,www.chocolatefinance.com,,+65 9497 9797,,2022,Financial Services,e-Financial,FinTech,Series A,,"Sequoia Capital, Global Founders Capital, Credit Saison, Orion Advisor Services, Prosus, Ion Pacific, DARA Holdings",19.00,,,,,,,,,1,Series A,24-Aug-2022,19.00,,,16,"Chapman III, SCC Healthcare Principals Fund",-,VC-Backed,Private,,
495886,Meson,Asia, ,Singapore,,,Singapore,www.meson.fi,,,,2021,Financial Services,"e-Financial, Accounting/Finance Software","Cryptocurrency, Exchange/Trading Platforms, eWallets & Money Transfer",Early Stage,,"GSR Ventures, Plug and Play Ventures, BAI Capital, SNZ Holding, A&T Capital, Mirana Ventures, M77 Ventures",4.00,,,,,,,,,1,Unspecified Round,18-Aug-2022,4.00,,,,Plug & Play Supply Chain Fund I,-,VC-Backed,Private,,
495539,Zero X Gakuen,Asia,"13 Deokgyebuk-gil, Sangga-dong Yangsan",,Gyeongsangnam-do,,South Korea,https://zeroxgakuen.com,,,,2022,Media,"e-Financial, Digital Media, Multimedia & Graphics","Blockchain, FinTech",Angel & Seed,,"FuturePlay, Korea Tech Incubator for Startup",,,,,,,,,,2,Unspecified Round,09-Aug-2022,,,,,Future Play Tech Innovation Fund II,-,VC-Backed,Private,,
495487,Charm Savings Bank,Asia,"2421 Dalgubeol-daero Suseong-gu, Daegu",,,,South Korea,www.charmbank.co.kr,,+82 53 720 7300,+82 53 720 7400,1974,Financial Services,"Retail Banks, Commercial Banks",FinTech,Early Stage,,HANBIT ASSET MANAGEMENT COMPANY,57.20,,,,,,,,,1,Unspecified Round,16-Aug-2022,57.23,,,0,,-,VC-Backed,Private,,
495347,Distributed Energy,Asia,101 Cecil Street #11-10 Tong Eng Building,Singapore,,69533,Singapore,www.de.energy,info@de.energy,,,2019,Financial Services,"Accounting/Finance Software, Investment Banking",FinTech,Angel & Seed,,,0.90,,,,,,,,,1,Seed,28-Sep-2019,0.90,,,,,-,VC-Backed,Private,,3.04
495204,Climate Impact X,Asia,"456, Alexandra road, #14-01 Fragrance Empire Building",,,119962,Singapore,www.climateimpactx.com/,contact.us@climateimpactx.com,,,2021,Financial Services,e-Financial,Exchange/Trading Platforms,Early Stage,,"Temasek Holdings, SGX, DBS Bank, Standard Chartered Bank",20.30,,,,,,,,,2,Unspecified Round,01-Jul-2022,20.34,,,47,,-,VC-Backed,Private,,
495085,.bit,Asia, ,Singapore,,,Singapore,www.did.id,,,,2021,Financial Services,e-Financial,"Cryptocurrency, Exchange/Trading Platforms",Series A,,"GGV Capital, GSR Ventures, Qingsong Fund, CMB International Capital Management, HashKey Capital, SNZ Holding",13.00,,,,,,,,,1,Series A,15-Aug-2022,13.00,,,,"GGV Discovery III, Hashkey Fintech Investment Fund",-,VC-Backed,Private,,
495073,LOANY,Asia,"56, Magokseo-ro, Gangseo-gu ",Seoul,,7807,South Korea,www.loany.co.kr,admin@loany.co.kr,+82 2 2608 2494,,2018,Financial Services,"e-Financial, Consumer Finance, Accounting/Finance Software, Internet","Lending, Mobile Messaging",Early Stage,,Creation Investment Advisory ,1.30,,,,,,,,,1,Unspecified Round,08-Mar-2022,1.30,,,,,-,VC-Backed,Private,,
495003,Visual Alpha,Asia,Aoyama Tower Place 8F ,Tokyo,,107-0052,Japan,www.visual-alpha.com,,,,2019,Software,"Accounting/Finance Software, Analytics & Performance Software, Investment Banking","Artificial Intelligence, Saas, Wealth Management",Early Stage,,Incubate Fund,,,,,,,,,,1,Unspecified Round,12-Aug-2022,,,,,Incubate Fund V,-,VC-Backed,Private,,
494629,"ONE, Inc.",Asia,"Kokaido Building 2F 4-2-45 Roppongi, Minato-ku",Tokyo,,106-0032,Japan,https://0x1.company/,,,,2022,Consumer Products,"Accessories, Recreational Hobbies & Sporting Goods, Clothing","Cryptocurrency, E-commerce, Exchange/Trading Platforms",Early Stage,,East Ventures,0.10,,,,,,,,,1,Unspecified Round,10-May-2022,0.08,,,,Multi-Stage Fund,-,VC-Backed,Private,,
494411,PT Delegasi Indonesia,Asia, West Java,Bandung,,,Indonesia,www.delegasi.co,hey@delegasi.co,+62 821 6285 3603,,2021,Financial Services,"Accounting/Finance Software, e-Financial","FinTech, Saas",Angel & Seed,,BEENEXT,0.60,,,,,,,,,1,Seed,08-Aug-2022,0.60,,,7,BEENEXT Opportunity Fund,-,VC-Backed,Private,,
494093,Next Finance Tech,Asia,"Wale Building 4F 2-12-1 Jingumae, Shibuya-ku",Tokyo,,,Japan,,support@nxt-fintech.com,,,2021,Financial Services,"Investment Banking, e-Financial, Internet, Accounting/Finance Software","Cryptocurrency, Exchange/Trading Platforms, Wealth Management",Angel & Seed,,ANRI,,,,,,,,,,1,Seed,09-Aug-2022,,,,,ANRI GREEN No.1,-,VC-Backed,Private,,
493816,furasuco,Asia,"Taiyo Life Shinagawa Building 28F 2-16-2 Konan, Minato-ku",Tokyo,,108-0075,Japan,www.furasuco.co.jp,info@furasuco.co.jp,+81 3 4563 0062,,2022,Internet,"Brokerages, Web Applications, Automobiles, Other Vehicles & Parts",Digital Brokerage,Angel & Seed,,Gazelle Capital,,,,,,,,,,1,Seed,08-Aug-2022,,,,,Gazelle Capital Fund I,-,VC-Backed,Private,,
493479,Beppo Pte. Ltd. ,Asia,113b Jln Besar,,,208833,Singapore,www.beppo.com,hello@beppo.com,,,,Software,"e-Financial, Accounting/Finance Software, Accounting Services","Mobile Apps, Wealth Management",Angel & Seed,,Wavemaker Partners,,,,,,,,,,1,Seed,01-Aug-2022,,,,14,Wavemaker SEA Fund IV,-,VC-Backed,Private,,
493452,mish Inc.,Asia,"Shibuya Dogenzaka 11F 28-1 Maruyama-cho, Shibuya-ku",Tokyo,,150-0044,Japan,www.mish.tv,info@mish.tv,,,2021,Internet,"Web Development, e-Financial",Processing & Payment Infrastructure,Early Stage,,"SBI Investment, ANRI, Delight Ventures, Chiba Dojo",1.50,,,,,,,,,1,Unspecified Round,04-Aug-2022,1.51,,,64,"Delight Ventures I, Chiba Dojo Fund II, Panasonic Kurashi Visionary Fund, ANRI No.5",-,VC-Backed,Private,,
493140,Crepay,Asia,"162, Baumoe-ro, Seocho-gu ",Seoul,,6753,South Korea,www.crepay.com,,,,2021,Financial Services,"Accounting/Finance Software, e-Financial","Processing & Payment Infrastructure, Smart-Pay: Physical-Digital Interactions",Angel & Seed,,"BonAngels, Korea Tech Incubator for Startup",,,,,,,,,,2,Seed,31-Aug-2022,,,,1,BonAngels SEMIFIVE Booster Fund,-,VC-Backed,Private,,
493003,Directional,Asia,"83, Uisadang-daero, Yeongdeungpo-gu ",Seoul,,7325,South Korea,www.directional.net,cs@directional.net,,,2018,Financial Services,"e-Financial, Accounting/Finance Software, Web Applications","Cryptocurrency, Exchange/Trading Platforms, Lending",Early Stage,,"Qvious, Inc.",,,,,,,,,,1,Unspecified Round,01-Aug-2022,,,,,,-,VC-Backed,Private,,
492906,Paywork,Asia,"83, Uisadang-daero, Yeongdeungpo-gu ",Seoul,,7325,South Korea,www.paywork.io,start@paywork.io,+822 1833 4080,,2019,Software,"e-Financial, Accounting/Finance Software","Mobile Messaging, Processing & Payment Infrastructure, Wealth Management, eWallets & Money Transfer",Angel & Seed,,"SparkLabs Accelerator, VNTG CORP",0.20,,,,,,,,,1,Seed,10-Feb-2022,0.17,,,5,Smart L&P-Sparklab Cosmetic Fund I,-,VC-Backed,Private,,
492716,OrBit Markets Pte Ltd,Asia,20 Collyer Quay #09-01,Singapore,,49319,Singapore,www.orbitmarkets.io,info@orbitmarkets.io,,,2022,Financial Services,"e-Financial, Accounting/Finance Software","Cryptocurrency, Exchange/Trading Platforms",Angel & Seed,,"Matrixport Technologies Ltd., Maven 11 Capital, New Form Capital, Westridge Markets, BH Digital",4.60,,,,,,,,,1,Angel,31-Jul-2022,4.60,,,3,Digital Asset Fund,-,VC-Backed,Private,,
492711,UneMeta,Asia, ,,,,Singapore,www.unemeta.com,,,,2021,Internet,"Social Networking & Communication Platform, e-Financial, Web Applications, Gaming","Cryptocurrency, Exchange/Trading Platforms, Social Media",Early Stage,,"Consensus Lab, Taihill Venture, SPB, K24 Ventures, Avatar DAO, CGV FoF, Jasmy Foundation",5.00,,,,,,,,,1,Unspecified Round,29-Jul-2022,5.00,,,,,-,VC-Backed,Private,,
492695,Ancileo Pte. Ltd.,Asia,"10 Marina Boulevard MBFC tower 2, Level 39",Singapore,,18983,Singapore,www.ancileo.com,contact@ancileo.com,,,2015,Insurance,"Application Integration Software, Reinsurance","Digital Brokerage, InsureTech, Saas",Angel & Seed,,Fermion Group,3.00,,,,,,,,,1,Seed,04-Jul-2022,3.00,,,15,,-,VC-Backed,Private,,
492536,"RECIKA Co., Ltd",Asia,"Inspired.Lab, Otemachi Building 6F 1-6-1 Otemachi, Chiyoda-ku",Tokyo,,100-0004,Japan,www.recika.jp,contact@recika.jp,,,2018,Software,"Facilities & Maintenance Services, e-Financial, IT Security/Cybersecurity, Sales & Marketing Software, Accounting/Finance Software, Consulting Services","Cryptocurrency, Exchange/Trading Platforms",Early Stage,,"Tokai Tokyo Investment, A.D.Works corporation, Angel Torch",,,,,,,,,,1,Unspecified Round,29-Jul-2022,,,,3,Tokai Tokyo Incubation Fund,-,VC-Backed,Private,,
492424,How Much,Asia,"Room 105, 203-dong, 92, Jungbu-daero 223beon-gil, Paldal-gu Suwon, Gyeonggi-do",,,,South Korea,www.howmuch.works,doodle.fac@gmail.com,,,2019,Software,"e-Financial, Accounting/Finance Software","FinTech, Mobile Apps",Early Stage,,JOBIS & Villians,,,,,,,,,,1,Unspecified Round,27-Jul-2022,,,,,,-,VC-Backed,Private,,
492113,Ideal,Asia,Menara Mandiri II 16th Floor Jl. Gen. Sudirman Kav. 54-55,Jakarta,,,Indonesia,www.ideal.id,hello@ideal.id,,,2021,Financial Services,Mortgage Banking,"Lending, Mobile Apps",Early Stage,,"Alpha JWC Ventures, Ciputra, AC Ventures, Living Lab Ventures",3.80,,,,,,,,,1,Unspecified Round,27-Jul-2022,3.80,,,5,"Alpha JWC Ventures III, ACV Capital V",-,VC-Backed,Private,,
491737,INFINITE BLOCK,Asia, ,,,,South Korea,,,,,2022,Financial Services,"Accounting/Finance Software, e-Financial","Blockchain, FinTech",Early Stage,,"Daegu Bank, Infobank, SK Securities",,,,,,,,,,2,Unspecified Round,12-Aug-2022,,,,2,,-,VC-Backed,Private,,
491211,Bluejay,Asia,68 Circular Road #02-01,Singapore,,49422,Singapore,www.bluejay.finance,,,,2021,Financial Services,"e-Financial, Investment Banking","Exchange/Trading Platforms, Processing & Payment Infrastructure",Angel & Seed,,"C2 Ventures, Zee Prime Capital, Stake Capital, Oval Ventures, Moonlanding Ventures, RNR Capital, Daedalus Angel",2.90,,,,,,,,,1,Seed,21-Jul-2022,2.90,,,13,"C2V Capital Partners II, Oval Ventures I",-,VC-Backed,Private,,
490960,XLD Finance,Asia, ,,,,Philippines,www.xld.finance,support@xld.finance,,,2018,Financial Services,"Accounting/Finance Software, Information Services, e-Financial, Internet","Cryptocurrency, Exchange/Trading Platforms, Saas",Early Stage,,"UOB Venture Management, IDG Capital, Digital Currency Group, Integra Partners, Insignia Ventures Partners, Openspace Ventures, Advance Technology Pte. Ltd., Dragonfly, Transcend Fund, Sfermion, Shima Capital, Morningstar Ventures, Yield Guild Games, Wootech Limited, Circle, Infinity Ventures Crypto, YOLO Ventures, Emfarsis, TrustToken",13.00,,,,,,,,,2,Unspecified Round,19-Jul-2022,13.00,,,57,"Korea Venture Fund, Openspace Ventures III, Integra Partners Fund II, Insignia Ventures Partners Fund III, Dragonfly Ventures III",-,VC-Backed,Private,,
490836,Pod Capital Sdn Bhd,Asia,C-19-08 KL Trillion Jalan Tun Razak ,Kuala Lumpur,,,Malaysia,https://usepod.com,info@usepod.com,+60 11 6245 9186,,2018,Financial Services,"e-Financial, Accounting/Finance Software","Mobile Apps, Wealth Management",Early Stage,,The Hive Southeast Asia,,,,,,,,,,1,Unspecified Round,30-Dec-2021,,,,5,,-,VC-Backed,Private,,
490760,Coffeehouse,Asia,"28, Digital-ro 30-gil, Guro-gu ",Seoul,,8389,South Korea,www.socialinvestinglab.com,coffeehouse@socialinvestinglab.com,+82 70 4077 0920,,2021,Financial Services,"Information Services, Financial Services, Internet","Exchange/Trading Platforms, Mobile Apps",Angel & Seed,,"Shinhan Investment Corp., KB Securities, Korea Tech Incubator for Startup, IBK Capital, SK Securities, KAIST Youth Startup Investment Holdings ",,,,,,,,,,5,Unspecified Round,18-Jul-2022,,,,7,"KB - KTB Fintech Venture PEF, Shinhan-Cognitive Contents Investment Fund I",-,VC-Backed,Private,,
490717,Stakefair,Asia,"160, Robinson Road #14-04 ",,,68914,Singapore,www.stakefair.io,admin@stakefair.io,,,2021,Software,Gaming,"Cryptocurrency, Exchange/Trading Platforms, Paas",Angel & Seed,,"EchoVC Partners, Kepple Africa Ventures, Voltron Capital, Nestcoin holding Ltd, Canza Finance, Emurgo Ventures, Adaverse, Saturn Blockchain Ventures, Thrive Africa",0.70,,,,,,,,,1,Seed,13-Jul-2022,0.67,,,2,EchoVC Pan-Africa II,-,VC-Backed,Private,,
490696,Payd Sdn. Bhd.,Asia,J-8-5 No.2 Jalan Solaris Solaris Mont Kiara,Kuala Lumpur,,50480,Malaysia,www.justpayd.com,hello@justpayd.com,,,2020,Software,"Application Integration Software, Accounting/Finance Software, e-Financial","FinTech, Mobile Apps",Angel & Seed,,"IFS Capital, Delight Capital, Antler, 1982 Ventures, The Hive Southeast Asia",1.70,,,,,,,,,1,Seed,26-Apr-2022,1.70,,,36,"Antler Southeast Asia Fund, 1982 Ventures Fund I",-,VC-Backed,Private,,
490684,"shiftbase, inc.",Asia,1-7-15 Wakaba Shinjuku,Tokyo,,160-0011,Japan,www.shiftbase.xyz,gm@shiftbase.xyz,,,2022,Internet,"Web Development, e-Financial, Accounting/Finance Software","Cryptocurrency, FinTech",Angel & Seed,,Culture Convenience Club,2.20,,,,,,,,,2,Seed,19-Jul-2022,2.24,,,2,,-,VC-Backed,Private,,
490060,Hexlant,Asia,"7th Floor, Kyungwon Building, 340 Gangnam-daero, Gangnam-gu ",Seoul,,,South Korea,www.hexlant.com,contact@hexlant.com,+82 70 7711 2733,,2018,Financial Services,"Accounting/Finance Software, Analytics & Performance Software, Consulting Services, e-Financial","Smart Contracts, eWallets & Money Transfer",Series A,,"MiraeAsset Capital, POSCO Capital, Kakao Investment, Korea Tech Incubator for Startup, A Ventures",5.40,,,,,,,,,2,Series A,30-Mar-2022,5.36,,,19,"R&D Special District Job Creation Fund II, Smart A Ontact PEF",-,VC-Backed,Private,,
489847,Artiwealth,Asia,"34, Hwangsaeul-ro 200beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do ",,,13595,South Korea,www.artiwealth.com,cs@artiwealth.com,+82 31 714 8152,+82 31 714 8153,2017,Financial Services,"Accounting Services, Accounting/Finance Software, Consulting Services, Web Applications, Analytics & Performance Software","Artificial Intelligence, Financial Data, Real Estate Tech, Wealth Management",Early Stage,,"SJ Investment Partners, KB Securities, Gabia",1.60,,,,,,,,,1,Unspecified Round,23-Jun-2022,1.61,,,0,"SJ First Mover Venture Fund II, KB - KTB Fintech Venture PEF",-,VC-Backed,Private,,
