Company ID,Companies,Last Financing Valuation,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Type 3,First Financing Deal Class,Active Investors,Ownership Status,Primary Industry Code,Last Financing Date,Last Financing Size,Last Financing Deal Type,Primary Contact,Company Financing Status,Year Founded,HQ Location,Website,Description,PitchBook Link
482595-76,AcknoLedger,,16-Oct-2021,1.53,,Seed Round,Seed Round,,Venture Capital,"Amesten Capital, AU21 Capital, BaseLayer Ventures, Basics Capital, Blockventures, Carl Runefelt, Dutch Crypto Investors, Evan Luthra, Gains Associates, Growth Capitals, Kangaroo Capital, Kardia Ventures, Krypital Group, Magnus Capital, Mahadao, Mayor Capital, Momentum6, NFT Technologies, Nine2Five Ventures, Nord Finance, Oasis Capital, Prostarter, RedHat Capital, Regain Ventures, Scorpio VC, Shima Capital, SupraOracles, Synapse Network, X21, ZBS Capital",Privately Held (backing),Financial Software,16-Oct-2021,1.53,Seed Round,Abhishek Rajpurohit,Venture Capital-Backed,2021,"Mumbai, India",www.acknoledger.com,"Developer of an online financial platform designed for a non-fungible token (NFT) and blockchain trading. The company enables indexing of NFTs across gaming, metaverses, and NFT marketplaces and is a global consortium that maps, monetizes, and distributes web 3.0 digital assets across all the metaverses and gaming NFTs, providing consumers the insights for informed decision making.",View company online
495635-41,AdalFi,,,,,Early Stage VC,,,Venture Capital,"Deem, Fatima Gobi Ventures",Privately Held (backing),Financial Software,,,Early Stage VC,Salman Akhtar,Venture Capital-Backed,2021,"Lahore, Pakistan",www.adalfi.com,"Developer of a digital lending platform designed to offer domain-specific data which is packaged with scoring models. The company's platform facilitates proprietary data, AI-based credit scoring, and real-time credit disbursement, thereby helping banks with digital loans disbursement in real-time with the help of underwriting parameters.",View company online
496502-11,AgriG8 (Financial Software),,10-Jan-2022,,,Early Stage VC,,,Venture Capital,Trendlines,Privately Held (backing),Financial Software,10-Jan-2022,,Early Stage VC,David Chen,Venture Capital-Backed,2020,"Singapore, Singapore",www.agrig8.com,"Operator of agricultural fintech platform intended to bridge gap between lenders and smallholder producers. The company's platform integrates real-time monitoring with proprietary farmer's behavioral analysis to provide MRV (measurement, reporting and verification) capabilities, providing lenders with predictive modeling and active monitoring for positive financial returns.",View company online
471867-22,Akudo,,27-Sep-2021,4.20,,Seed Round,Seed Round,,Venture Capital,"Akatsuki Entertainment Technology Fund, Anupam Singhal, Asymmetry Ventures, AvanTech Ventures, Cabra VC, Dragon Capital (California), Evening Fund, Incubate Fund, JAFCO Asia, Lalit Keshre, Mohit Daga, Nao Murakami, Rohit Taneja, Romeen Sheth, Sriram Krishnan, Tribe Capital, Y Combinator",Privately Held (backing),Financial Software,01-Sep-2022,,Early Stage VC,Lavika Aggarwal,Venture Capital-Backed,2020,"Bengaluru, India",www.akudo.in,"Developer of a digital bank designed for teenagers in India. The company has been crafted with the vision of raising generations of money-smart young Indians, enabling teenagers by providing personal debit cards and making UPI payments, helping users to save for the things they want.",View company online
491413-15,AlaanPay,,,2.50,,Early Stage VC,,,Venture Capital,"468 Capital, Erik Podzuweit, Florian Prucker, Global Founders Capital, Mato Peric, Philippe Teixeira da Mota, Presight Capital",Privately Held (backing),Other Financial Services,,2.50,Early Stage VC,Parthi Duraisamy,Venture Capital-Backed,2021,"Dubai, United Arab Emirates",www.alaanpay.com,"Developer of payment platform intended for underserved small businesses. The company offers corporate cards, invoice payments, expense management, accounting integration, and analytics services, enabling the finance head/owner to oversee, control, and analyze spending across the company and helping them to earn rewards and also identify savings opportunities.",View company online
483894-01,ALEX,,15-Nov-2021,5.80,,Early Stage VC,,,Venture Capital,"a41 Ventures, Cultur3, Gemini Frontier Fund, Global Blockchain Innovative Capital, Gossamer Capital, OK Blockchain Capital, SBX Capital, SeaX Ventures, Stacks Ventures, White Star Capital",Privately Held (backing),Financial Software,,,Accelerator/Incubator,Rachel Yu,Venture Capital-Backed,2021,"Singapore, Singapore",www.alexgo.io,"Developer of open-source decentralized finance technology designed to allow for fixed-rate and fixed-term bitcoin lending and borrowing. The company's platform includes forward contracts in the trading pool, with an automated market-making (AMM) engine in association with generalized mean, enabling users to minimize the risks, and maximize returns with fully decentralized integrated financial solutions.",View company online
494070-22,AlgoBlocks,,,,,Early Stage VC,,,Venture Capital,"Lancer Capital, LVT Capital, MEXC, Palar Capital, Polygon, SupraOracles",Privately Held (backing),Other Financial Services,,,Early Stage VC,TN KO,Venture Capital-Backed,2021,"Hong Kong, Hong Kong",www.algoblocks.io,"Developer of a blockchain technology intended for decentralized finance. The company's platform reduces the friction to use Defi products to trade by abstracting the technical complexity and knowledge into a simple UI and UX, serving the users by making the transition to Defi, smooth.",View company online
469779-40,AlgoFox,,30-Oct-2020,,,Accelerator/Incubator,,,Other,"ICICI Securities, NSRCEL-IIMB",Privately Held (backing),Financial Software,30-Oct-2020,,Accelerator/Incubator,Kushal Jain,Accelerator/Incubator Backed,2020,"Bangalore, India",www.algofox.in,"Provider of a trading platform intended to create sustainable community of profitable trader and investors. The company's platform offers end to end solutions to create and manage wealth in stock market as well as connects clients with the desired broker and help them to place trades systematically, enabling traders to avail financial assistance and earn profit.",View company online
507142-36,AlgoTest,,05-Aug-2022,0.50,,Accelerator/Incubator,,,Other,Y Combinator,Privately Held (backing),Business/Productivity Software,05-Aug-2022,0.50,Accelerator/Incubator,Rajat Jaiswal,Accelerator/Incubator Backed,2021,"New Delhi, India",www.algotest.in,"Operator of an investment tech company intended to allow retail traders to do backtesting for their trading strategies. The company's platform offers a full stack algorithmic testing and execution platform in order to carry out backtest, paper trade, and deploy trading strategies to the live market, enabling users to access historical data to gauge profitability and risk before investing any actual capital.",View company online
482435-29,Almond (Financial Software),,16-Apr-2020,0.03,,Accelerator/Incubator,,,Other,"Harvard Innovation Launch Lab, Harvard Undergraduate Capital Partners, MIT Delta V, MIT Sandbox, Morningside Group, Valhalla Investment Group",Privately Held (backing),Financial Software,27-Dec-2021,2.00,Seed Round,Hayden Brink,Venture Capital-Backed,2020,"Boston, MA",www.almondfintech.com,"Developer of a cross-border payment platform designed to make remittances and payments across providers and borders possible. The company's platform develops a platform that provides currency exchange services, and interoperability between mobile wallets and services, enabling individuals and businesses to send and receive money using their existing wallets.",View company online
462672-37,Alpha Venture DAO,,01-Oct-2020,0.31,,Early Stage VC,,,Venture Capital,"Binance Labs, DeFiance Capital, Delphi Digital, Genesis Block Ventures, GravityX Capital, Multicoin Capital, SCB 10X, Spartan Group",Privately Held (backing),Financial Software,,,Early Stage VC,Tascha Punyaneramitdee,Venture Capital-Backed,2020,"Bangkok, Thailand",alphaventuredao.io,"Developer of an ecosystem of decentralized finance products intended to redefine and reform traditional finance in a decentralized manner. The company's products aim to address prominent market gaps in Defi with simple, yet novel solutions, enabling users to maximize returns while minimizing risks.",View company online
493193-35,Alumnote,2.19,01-Dec-2021,,2.19,Seed Round,Seed Round,,Venture Capital,"The University of Tokyo Edge Capital, UTokyo Innovation Platform",Privately Held (backing),Other Financial Services,01-Dec-2021,,Seed Round,Touga Nakazawa,Venture Capital-Backed,2020,"Tokyo, Japan",corporate.alumnote.jp,"Operator of a fundraising services platform intended to activate university fundraising and alumni networks. The company focuses on developing community management work efficiency, offers digital transformation support, graduate database construction support, and fundraising support, enabling clients to accelerate the circulation of funds by fostering a donation culture in Japan",View company online
502873-30,AM Management,,24-Apr-2022,3.26,,Seed Round,Seed Round,,Venture Capital,the hyper,Privately Held (backing),Other Financial Services,24-Apr-2022,3.26,Seed Round,Hojung Kim,Venture Capital-Backed,2021,"Seoul, South Korea",amcryptoteam.com,"Operator of a digital asset quantitative strategy development company intended to increase profitability through the continuous development of AI Quant Systems and professional analysts. The company helps customers make better investments through the collaboration of AI Quant System developers and digital asset analysts, enabling users to design their investments by selecting them according to their preferences as well as managing risk.",View company online
493735-24,Amplify (Financial Software),,12-Mar-2021,,,Accelerator/Incubator,,,Other,F10,Privately Held (backing),Financial Software,12-Mar-2021,,Accelerator/Incubator,Eugene Tan,Accelerator/Incubator Backed,2020,"Singapore, Singapore",www.ampt.finance,"Developer of a decentralized financial platform designed to accelerate the growth of small and medium enterprises. The company's platform helps to borrow against collateralized assets and earn interest with every block, deposit or redeem balance at any time, and tokens are distributed to protocol contributors for lending or redeeming into the pools, enabling businesses to tap into decentralized liquidity.",View company online
495053-38,Anastrat,,01-Jan-2022,0.30,,Seed Round,Seed Round,,Venture Capital,,Privately Held (backing),Financial Software,01-Jan-2022,0.30,Seed Round,Sunil Bagrecha,Venture Capital-Backed,2021,"Bangalore, India",anastrat.com,"Developer of an AI-enabled trading analysis platform intended to help financial traders in their investment decision-making. The company's platform utilizes the unique capabilities of the data cloud technique that allows users from across the globe to access the platform that will provide them with a cohesive automated suite and ensure traders harness the full potential of DL/ML technology, enabling traders get unlimited access to governed data so that they can tackle the challenges and opportunities of today and enjoy the possibilities of improved profitability tomorrow.",View company online
463026-79,Anchor (Financial Software),,12-Mar-2021,,,Early Stage VC,Series 1,,Venture Capital,"Arrington Capital, BR Capital, Dragonfly (San Francisco), Galaxy Digital Holdings, Hashed (Accelerator), Mayu Ventures, Pantera Capital, Rockaway Blockchain Fund, SCB 10X",Privately Held (backing),Financial Software,12-Mar-2021,,Early Stage VC,Do Kwon,Venture Capital-Backed,2021,"Seoul, South Korea",www.anchorprotocol.com,"Developer of a savings platform designed to provide crypto natives, fintech companies and regular investors a stable, high-yield interest rate for decentralized finance. The company's platform acts as an interchain decentralized finance application that pools the emission from PoS blockchains, stabilizes it, and passes it on as fixed, high-yield interest to depositors, enabling stakeholders of major PoS chains to deploy their staking positions as liquid capital within a money market to improve capital efficiency across decentralized finance, while the cash flows themselves are passed on to the average retailer.",View company online
483089-32,Anfin,,22-Oct-2021,0.51,,Early Stage VC,,,Venture Capital,"AngelHub, Clément Benoit, First Check Ventures, Global Founders Capital, Goodwater Capital, Kharis Capital, MicroVentures, Newman Capital, R2 Venture Partners, R2 Ventures, Rebel Fund, Spring Camp, XA Network, Y Combinator",Privately Held (backing),Financial Software,22-Jun-2022,4.80,Early Stage VC,Phuoc Tran,Venture Capital-Backed,2021,"Ho Chi Minh City, Vietnam",www.anfin.vn,"Developer of a digital trading platform designed to help people invest in the stock market. The company's platform facilitates users to discover and invest in other investments, strategies, thesis, and asset classes and enhances collaboration by verifying investors' trades, enabling young and novice retail investors to transform and democratize stock through liquidity and transparency.",View company online
491700-70,Animoca Brands KK,545.00,16-Feb-2022,9.57,,Seed Round,Seed Round,,Venture Capital,"Animoca Brands, Kodansha, MCP Asset Management Company, Mitsubishi UFJ Financial Group, Nishi-Nippon Railroad Company, Sumitomo Mitsui Trust Bank, Temasek Holdings",Privately Held (backing),Financial Software,26-Aug-2022,45.00,Early Stage VC,Yat Siu,Venture Capital-Backed,2021,"Fukuoka, Japan",www.animocabrands.co.jp,"Operator of a WEB3 platform intended to offer intellectual property holders to launch Web 3.0 content such as non-fungible tokens. The company's platform is based on blockchain technology to enable intellectual property holders to build and expand fan communities via the issue of their non-fungible tokens and fungible tokens and participation in the broader Web3 ecosystem, enabling intellectual property holders to monetize their intellectual property rights through blockchain technology.",View company online
454769-92,AnRKey X,,07-Dec-2020,1.27,,Early Stage VC,,,Venture Capital,"Chainfir Capital, Definition Fund, Master Ventures, Moonrock Capital",Privately Held (backing),Entertainment Software,29-Mar-2021,,Seed Round,J.D. Salbego,Venture Capital-Backed,2020,"Singapore, Singapore",www.anrkeyx.io,"Developer of a blockchain-based e-sports software designed to allow gamers to play, stake, sell and compete with each other and earn ANRX tokens. The company merges blockchain with decentralized video games, enabling players to enjoy the freedom of true digital ownership and streamline the process of gaming.",View company online
467255-71,Apricot Finance,,06-Jun-2021,0.80,,Seed Round,Seed Round,,Venture Capital,"a41 Ventures, Advanced Blockchain, Bixin Ventures, Chris McCann, CMS Holdings (New York), CryptoJ, Darren Lau, Delphi Digital, Double Peak, Dynamic Fintech Group, Gate Capital Group, Genblock Capital, GSR Ventures, GTA Ventures, Jeffrey Kuan, LedgerPrime, Lemniscap, MXC Capital, NGC Ventures, SkyVision Capital, Solana Capital, Solar Eco Fund, Struck Capital Crypto, VALHALL, Valhalla Capital, Zhuoxun Yin",Privately Held (backing),Financial Software,25-Aug-2021,4.00,Early Stage VC,Tang Jing,Venture Capital-Backed,2021,"Hong Kong, Hong Kong",www.apricot.one,"Operator of a decentralized platform intended to provide over-collateralized loan protocols to the users. The company's platform offers borrowers with in-class borrowing power, lowest liquidation penalties with highest predictability in De-Fi sector, enabling investors to generate a generous amount of profit in cryptocurrency.",View company online
494827-57,Aquariux,,04-Apr-2022,2.21,,Seed Round,Seed Round,,Venture Capital,,Privately Held (backing),Financial Software,04-Apr-2022,2.21,Seed Round,Kelvin Chia,Venture Capital-Backed,2020,"Singapore, Singapore",www.aquariux.com,"Developer of financial technology intended to provide regulatory-compliant software solutions. The company's technology specializes in trading, payments, and remittance of traditional and digital assets, enabling customers to allow leapfrog business payment needs with single integration for both flat and cryptocurrency transactions.",View company online
483207-31,Arbo Works,,17-Nov-2021,,,Seed Round,Seed Round,,Venture Capital,"Mantis VC, Sequoia Capital India, Vanessa Larco",Privately Held (backing),Financial Software,17-Nov-2021,,Seed Round,Caesar Sengupta,Venture Capital-Backed,2021,"Singapore, Singapore",www.arbo.works,"Developer of fintech software designed to offer consumer financing solutions. The company's platform aims to bring technology and finance together in the field of consumer finance, enabling customers to tap the financial markets with ease.",View company online
467096-95,Arche Network,,20-May-2021,,,Early Stage VC,,,Venture Capital,"3Commas, Ankr, Basics Capital, Bounce (investor), Candaq Group, Chain Capital (Shanghai), Cinch Block, Dutch Crypto Investors, Kryptos Research, LD Capital, Lotus Capital (Middle East), Momentum6, Moonwhale, Paka Fund, ParticleXYZ, Prometeus Labs, Proverbs Group, Raptor Capital, Tenzor Capital",Privately Held (backing),Financial Software,20-May-2021,,Early Stage VC,Eliora Eliora,Venture Capital-Backed,2021,"Hong Kong, Hong Kong",www.arche.network,"Developer and operator of a user-defined financial contract open platform designed to develop a user-friendly non-standard marketplace for customized transactions. The company's platform allows users to create and customize their financial contracts on the blockchain without doing any coding, helping users to bring their financial products to the market quickly and empower traders and developers to participate in the world of a customized financial marketplace.",View company online
493368-13,Arda,,01-Mar-2022,0.50,,Accelerator/Incubator,,,Other,Y Combinator,Privately Held (backing),Financial Software,01-Mar-2022,0.50,Accelerator/Incubator,Ramkumar Venkataraman,Accelerator/Incubator Backed,2022,DE,www.arda.finance,"Developer of application programming interface intended for financial institutions. The company's software has a global application programming interface, can handle accounts and ledgering, takes care of global compliance, regulatory approvals, and licenses, use sandboxed environments in trusted cloud infrastructure and work with over-collateralized, secure, and audited decentralized finance protocols, and have robust monitoring in place, allowing clients to bridge fintech and decentralized finance in a compliant and secure way.",View company online
464357-98,Arrow Checkout,,01-Jan-2021,0.50,,Accelerator/Incubator,,,Other,"Alpha JWC Ventures, Hassan Ahmed, iSeed (India), Ooi Tyng, Plug and Play Tech Center, Sequoia Capital, Sequoia Capital India, Steve Vickers, Y Combinator, Zinal Growth",Privately Held (backing),Business/Productivity Software,25-Apr-2022,4.80,Early Stage VC,Liat Beng,Venture Capital-Backed,2020,"Singapore, Singapore",www.arrowcheckout.com,"Developer of an online checkout platform designed to assist in the buying and selling process. The company's platform partners with different merchants and provides a one-click checkout option, enabling consumers and sellers to track their orders in one place and without the need for tedious form fillings.",View company online
465764-41,Arthya Wealth and Investments,3.09,04-May-2021,1.01,3.09,Seed Round,Seed Round,,Individual,"Bagla Group, Trenton Investments",Privately Held (backing),Consulting Services (B2B),04-May-2021,1.01,Seed Round,Gaurav Arora,Angel-Backed,2020,"Mumbai, India",www.arthyawealth.com,"Provider of wealth administration and funding advisory services intended to manage wealth and identify profitable investment avenues for clients. The company's service is focused on finding financial products suitable clients, assists them in establishing their investment and risk profile, provides ongoing monitoring on advisory process and investment execution to avoid accidents in client portfolios, enabling investors to get financial strategies and simplify the process of investing.",View company online
470656-90,ArtWallSt,,16-Mar-2022,0.10,,Early Stage VC,,,Venture Capital,"500 Global, Antler, Investigate VC",Privately Held (backing),Financial Software,16-Mar-2022,0.10,Early Stage VC,Arun Sugumaran,Venture Capital-Backed,2020,"Singapore, Singapore",www.artwallstreet.io,"Developer of a NFT infrastructure platform designed to make Web3 and NFTs accessible to everyone. The company's platform provides a superior user experience for anyone to familiarise themselves with the key aspects of interacting with Web3 and owning NFTs, enabling newcomers and power users to interact with interoperable platforms such as OpenSea.",View company online
493192-27,Aruya Umu,1.32,17-Dec-2021,0.18,1.32,Seed Round,Seed Round,,Venture Capital,"Skyland Ventures, Takahiro Hayashi, Takashi Sato",Privately Held (backing),Financial Software,17-Dec-2021,0.18,Seed Round,Hiroaki Hatanaka,Venture Capital-Backed,2020,"Sapporo, Japan",www.alyawmu.com,"Operator of an NFT platform intended to facilitate the use of non-fungible tokens for hometown tax refunds. The company's platform assists local governments in combining hometown tax payment and NFTs and allows for the use of NFTs as rewards for tax refunds, enabling government entities to increase tax revenues.",View company online
432698-95,Asensys,,05-Mar-2020,2.70,,Angel (individual),Angel (individual),,Individual,Heung Shum,Privately Held (backing),Financial Software,05-Mar-2020,2.70,Angel (individual),Brendon Wang,Angel-Backed,2020,"Seattle, WA",www.asensys.com,"Developer of a distributed ledger blockchain platform designed to deliver greater scalability to blockchain networks. The company's platform adapts functional programming model for defining asynchronous cross-chain transaction logic, helps to administer workloads across consensus zones, supports efficient automatic recurrent transaction that enables minable token offering, repetitive payment, subscription monetization and flexible staking rewards as well as stores large data files, enabling clients to solve scalability problems easily and quickly.",View company online
471096-37,Aspen Digital (Hong Kong),,01-Jan-2021,,,Joint Venture,,,Other,"BlackPine Group, Chatchaval Jiaravanon, Chaval Jiaravanon, Cherubic Ventures, Everest Ventures Group, Liberty City Ventures, RIT Capital Partners, Rockpool Capital, Somerley, Token Bay Capital, TTB Partners",Privately Held (backing),Financial Software,06-Apr-2022,8.80,Early Stage VC,Yang He,Venture Capital-Backed,2021,"Hong Kong, Hong Kong",www.aspendigital.co,"Developer of an asset management platform designed for safekeeping digital asset. The company's platform helps users gain exposure to digital currency investment with various services like OTC/trade execution, yield enhancement products, automated investment strategies, asset custody, research & market intelligence, and portfolio reporting, enabling investors to manage investments and ensure the privacy and safety of their digital asset.",View company online
483172-12,Ather Labs,66.80,26-Oct-2021,6.80,66.80,Seed Round,Seed Round,,Venture Capital,"Alameda Research, Alex Svanevik, Arlington Capital Partners, Arrington Capital, BITKRAFT Ventures, CMT Digital, Coin98 Finance, DeFiance Capital, Delphi Digital, Dragonfly (San Francisco), Fenbushi Capital, Genesis Block Ventures, Hashed (Application Software), Holly Liu, HyperChain Capital, Konvoy Ventures, Kun Gao, Kyber Network, Master Ventures, Merit Circle, MG Ventures, Sfermion, Signum Capital, Yield Guild Games",Privately Held (backing),Entertainment Software,26-Oct-2021,6.80,Seed Round,Tin Nguyen,Venture Capital-Backed,2021,"Ho Chi Minh City, Vietnam",www.sipher.xyz,"Operator of a gaming studio intended to develop multiplayer dungeon PC game based on blockchain technology. The company unifies blockchain tech, artwork, storytelling, multiplayer gaming, and decentralized financial technologies, enabling users to use the transparent and secure digital ledger of blockchain to authenticate digital items.",View company online
509096-17,Awen ( Financial Software ),,,,,Early Stage VC,,,Venture Capital,"Flybridge Capital Partners, Polygon",Privately Held (backing),Financial Software,,,Early Stage VC,,Venture Capital-Backed,2022,NY,www.awen.finance,"Developer of real-time payments platform designed to integrate directly into the ERP system for cross-border transactions. The company platform provides real-time remittance with chain payment products by buying account receivables and provides immediate settlement on invoices, enabling exporters to get paid in less than one-day post-shipment.",View company online
483065-02,Ayekart,20.00,16-Oct-2021,0.79,,Seed Round,Seed Round,,Venture Capital,"Marquee Angel, Narasima Ram Rumar Charl, Praveen Kumar, Siply (Financial Software)",Privately Held (backing),Business/Productivity Software,07-Sep-2022,5.50,Early Stage VC,Debarshi Duttta,Venture Capital-Backed,2020,"Mumbai, India",www.ayekart.com,"Developer of supply chain and finance platform designed to simplify business operations and links businesses with prospective customers. The company's platform maintains and tracks stocks, credit receivables, and payables, and offers staff and attendance management, enabling businesses to increase revenues, gain market share, and deepen relationships with their customers.",View company online
502990-93,Ayobantu,,,,,Early Stage VC,,,Venture Capital,Darmawan Capital,Privately Held (backing),Other Financial Services,,,Early Stage VC,Agnes Yuliavitriani,Venture Capital-Backed,2020,"Semarang, Indonesia",www.ayobantu.com,"Provider of a crowdfunding platform intended to encourage participation in raising aid in the form of material donations, which are beneficial for the underprivileged. which are beneficial for the underprivileged. The company's crowdfunding platform raises funds and donates online with verification and monitored documentation helps, providing the government prosper the poor Indonesian people by providing assistance in the form of basic necessities, goods, or money according to the needs of those in need.",View company online
466748-56,Azure World,,24-May-2021,1.00,,Seed Round,Seed Round,,Venture Capital,XYZ-Ventures,Privately Held (backing),Other Financial Services,24-May-2021,1.00,Seed Round,Bing Zhang,Venture Capital-Backed,2020,"Shenzhen, China",www.azureworlds.com,Developer of risk control system for venture capital institutions. The company develops project risk control systems for small and medium-sized venture capital institutions that conducts preliminary analysis and evaluation in conjunction with self-developer risk control models.,View company online
